date,product_id,quantity
2025-04-27,P001,39
2025-04-28,P001,18
2025-04-29,P001,30
2025-04-30,P001,32
2025-05-01,P001,53
2025-05-02,P001,59
2025-05-03,P001,51
2025-05-04,P001,35
2025-05-05,P001,26
2025-05-06,P001,24
2025-05-07,P001,38
2025-05-08,P001,59
2025-05-09,P001,58
2025-05-10,P001,42
2025-05-11,P001,26
2025-05-12,P001,17
2025-05-13,P001,28
2025-05-14,P001,41
2025-05-15,P001,58
2025-05-16,P001,56
2025-05-17,P001,49
2025-05-18,P001,35
2025-05-19,P001,20
2025-05-20,P001,27
2025-05-21,P001,37
2025-05-22,P001,53
2025-05-23,P001,57
2025-05-24,P001,42
2025-05-25,P001,34
2025-05-26,P001,19
2025-05-27,P001,25
2025-05-28,P001,42
2025-05-29,P001,57
2025-05-30,P001,62
2025-05-31,P001,48
2025-06-01,P001,30
2025-06-02,P001,21
2025-06-03,P001,17
2025-06-04,P001,33
2025-06-05,P001,48
2025-06-06,P001,54
2025-06-07,P001,50
2025-06-08,P001,27
2025-06-09,P001,20
2025-06-10,P001,31
2025-06-11,P001,38
2025-06-12,P001,58
2025-06-13,P001,54
2025-06-14,P001,47
2025-06-15,P001,27
2025-06-16,P001,20
2025-06-17,P001,29
2025-06-18,P001,32
2025-06-19,P001,57
2025-06-20,P001,59
2025-06-21,P001,45
2025-06-22,P001,25
2025-06-23,P001,22
2025-06-24,P001,23
2025-06-25,P001,41
2025-06-26,P001,55
2025-06-27,P001,66
2025-06-28,P001,47
2025-06-29,P001,27
2025-06-30,P001,22
2025-07-01,P001,26
2025-07-02,P001,46
2025-07-03,P001,59
2025-07-04,P001,60
2025-07-05,P001,55
2025-07-06,P001,26
2025-07-07,P001,18
2025-07-08,P001,21
2025-07-09,P001,38
2025-07-10,P001,48
2025-07-11,P001,61
2025-07-12,P001,47
2025-07-13,P001,24
2025-07-14,P001,16
2025-07-15,P001,27
2025-07-16,P001,44
2025-07-17,P001,64
2025-07-18,P001,72
2025-07-19,P001,50
2025-07-20,P001,27
2025-07-21,P001,11
2025-07-22,P001,26
2025-07-23,P001,36
2025-07-24,P001,53
2025-07-25,P001,55
2025-07-26,P001,47
2025-07-27,P001,37
2025-07-28,P001,22
2025-07-29,P001,24
2025-07-30,P001,35
2025-07-31,P001,46
2025-08-01,P001,56
2025-08-02,P001,48
2025-08-03,P001,40
2025-08-04,P001,22
2025-08-05,P001,30
2025-08-06,P001,37
2025-08-07,P001,49
2025-08-08,P001,53
2025-08-09,P001,44
2025-08-10,P001,42
2025-08-11,P001,17
2025-08-12,P001,29
2025-08-13,P001,35
2025-08-14,P001,59
2025-08-15,P001,60
2025-08-16,P001,47
2025-08-17,P001,31
2025-08-18,P001,18
2025-08-19,P001,27
2025-08-20,P001,37
2025-08-21,P001,48
2025-08-22,P001,52
2025-08-23,P001,49
2025-08-24,P001,39
2025-08-25,P001,22
2025-08-26,P001,24
2025-08-27,P001,41
2025-08-28,P001,61
2025-08-29,P001,59
2025-08-30,P001,46
2025-08-31,P001,37
2025-09-01,P001,23
2025-09-02,P001,32
2025-09-03,P001,40
2025-09-04,P001,48
2025-09-05,P001,51
2025-09-06,P001,56
2025-09-07,P001,40
2025-09-08,P001,20
2025-09-09,P001,23
2025-09-10,P001,47
